scenario_label,simulation_year,metric,aggregate,raw_value,n_simulations,simulation_ids,value
G1L1W1,2041,share_over_67,mean,0.23583543348965888,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.23583543348965888
G1L1W1,2041,share_under_20,mean,0.18372292869917575,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18372292869917575
G1L1W1,2041,total_20_66,mean,21581.666666666668,3,"[np.int64(1), np.int64(2), np.int64(3)]",44909.82970833334
G1L1W1,2041,total_over_67,mean,8938.333333333334,3,"[np.int64(1), np.int64(2), np.int64(3)]",18600.001291666667
G1L1W1,2041,total_pop,mean,37900.666666666664,3,"[np.int64(1), np.int64(2), np.int64(3)]",78868.44478333334
G1L1W1,2041,total_under_20,mean,6963.333333333333,3,"[np.int64(1), np.int64(2), np.int64(3)]",14490.174416666667
G1L1W1,2041,youth_quota,mean,0.3226540461004588,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3226540461004588
G1L1W1,2042,old_quota,mean,0.41536275317224164,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.41536275317224164
G1L1W1,2042,share_20_66,mean,0.5657050207424349,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.5657050207424349
G1L1W1,2042,share_over_67,mean,0.2349720696607499,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.2349720696607499
G1L1W1,2042,share_under_20,mean,0.18782950584924987,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18782950584924987
G1L1W1,2042,total_20_66,mean,21346.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",44419.425050000005
G1L1W1,2042,total_over_67,mean,8866.333333333334,3,"[np.int64(1), np.int64(2), np.int64(3)]",18450.17469166667
G1L1W1,2042,total_pop,mean,37733.666666666664,3,"[np.int64(1), np.int64(2), np.int64(3)]",78520.93030833334
G1L1W1,2042,total_under_20,mean,7087.666666666667,3,"[np.int64(1), np.int64(2), np.int64(3)]",14748.902758333335
G1L1W1,2042,youth_quota,mean,0.33203988901927767,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.33203988901927767
G1L1W1,2043,old_quota,mean,0.4140172202463345,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.4140172202463345
G1L1W1,2043,share_20_66,mean,0.5669406936922411,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.5669406936922411
G1L1W1,2043,share_over_67,mean,0.23472281033750245,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.23472281033750245
G1L1W1,2043,share_under_20,mean,0.18712238721381869,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18712238721381869
G1L1W1,2043,total_20_66,mean,21318.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",44361.15915
G1L1W1,2043,total_over_67,mean,8826.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",18366.24405
G1L1W1,2043,total_pop,mean,37602.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",78246.94185
G1L1W1,2043,total_under_20,mean,7036.333333333333,3,"[np.int64(1), np.int64(2), np.int64(3)]",14642.081941666667
G1L1W1,2043,youth_quota,mean,0.3300712781023447,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3300712781023447
G1L1W1,2044,old_quota,mean,0.41062992176346064,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.41062992176346064
G1L1W1,2044,share_20_66,mean,0.5690743425784428,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.5690743425784428
G1L1W1,2044,share_over_67,mean,0.233677549629464,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.233677549629464
G1L1W1,2044,share_under_20,mean,0.18598053208725243,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18598053208725243
G1L1W1,2044,total_20_66,mean,21298.333333333332,3,"[np.int64(1), np.int64(2), np.int64(3)]",44320.23429166667
G1L1W1,2044,total_over_67,mean,8745.666666666666,3,"[np.int64(1), np.int64(2), np.int64(3)]",18199.076408333334
G1L1W1,2044,total_pop,mean,37426.333333333336,3,"[np.int64(1), np.int64(2), np.int64(3)]",77881.39269166668
G1L1W1,2044,total_under_20,mean,6960.666666666667,3,"[np.int64(1), np.int64(2), np.int64(3)]",14484.625283333335
G1L1W1,2044,youth_quota,mean,0.3268152661643515,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3268152661643515
G1L1W1,2045,old_quota,mean,0.4080034723039024,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.4080034723039024
G1L1W1,2045,share_20_66,mean,0.5705880123129078,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.5705880123129078
G1L1W1,2045,share_over_67,mean,0.2328026378261389,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.2328026378261389
G1L1W1,2045,share_under_20,mean,0.18482380703047577,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18482380703047577
G1L1W1,2045,total_20_66,mean,21254.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",44227.97995
G1L1W1,2045,total_over_67,mean,8671.666666666666,3,"[np.int64(1), np.int64(2), np.int64(3)]",18045.087958333334
G1L1W1,2045,total_pop,mean,37249.333333333336,3,"[np.int64(1), np.int64(2), np.int64(3)]",77513.06896666667
G1L1W1,2045,total_under_20,mean,6884.666666666667,3,"[np.int64(1), np.int64(2), np.int64(3)]",14326.474983333335
G1L1W1,2045,youth_quota,mean,0.3239208852384059,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3239208852384059
G1L1W1,2046,old_quota,mean,0.40584861876149003,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.40584861876149003
G1L1W1,2046,share_20_66,mean,0.5716228075991304,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.5716228075991304
G1L1W1,2046,share_over_67,mean,0.23199284492758132,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.23199284492758132
